time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-17T12:31:10.960Z,18.8931666666667,-155.2625,6.54,2.66,md,42,253,,0.2,hv,hv73077912,2022-09-27T16:56:57.040Z,"38 km ESE of Naalehu, Hawaii",earthquake,0.52,0.5,0.149170260045043,17,reviewed,hv,hv
2022-07-17T12:27:11.470Z,18.7728333333333,-155.261666666667,6.91,2.73,md,40,274,,0.14,hv,hv73077907,2022-09-27T16:56:56.040Z,"46 km SE of Naalehu, Hawaii",earthquake,0.7,0.62,0.146685005023046,14,reviewed,hv,hv
2022-07-17T12:14:50.400Z,18.8143333333333,-155.209166666667,10.24,2.94,ml,42,268,,0.11,hv,hv73077902,2022-09-27T16:56:56.040Z,"48 km SE of Naalehu, Hawaii",earthquake,0.72,0.92,0.136526142931324,24,reviewed,hv,hv
2022-07-17T11:47:22.720Z,18.8178333333333,-155.201,9.56,2.51,md,33,296,,0.14,hv,hv73077872,2022-09-27T16:57:13.040Z,"48 km SE of Naalehu, Hawaii",earthquake,0.68,0.68,0.0630766789015951,9,reviewed,hv,hv
2022-07-13T20:10:47.850Z,18.8531666666667,-155.228,9.15,2.62,ml,34,285,,0.15,hv,hv73074432,2022-09-24T21:25:43.040Z,"44 km ESE of Naalehu, Hawaii",earthquake,0.64,0.46,0.199050322706938,12,reviewed,hv,hv
2022-07-11T14:30:04.890Z,18.8728333333333,-155.217666666667,9.86,2.6,md,30,260,,0.14,hv,hv73072517,2022-09-24T21:25:56.040Z,"43 km ESE of Naalehu, Hawaii",earthquake,0.71,0.53,0.182094962640092,13,reviewed,hv,hv
2022-07-02T16:50:52.200Z,18.8673333333333,-155.2315,9.03,2.56,md,32,262,,0.13,hv,hv73062887,2022-09-13T06:21:05.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.55,0.44,0.203177304854418,13,reviewed,hv,hv
2022-06-14T17:54:08.683Z,18.9072,-155.2604,10,2.5,ml,26,256,0.373,0.54,us,us7000hhec,2022-08-21T00:17:17.040Z,"38 km ESE of Naalehu, Hawaii",earthquake,2,2,0.052,49,reviewed,us,us
2022-05-31T09:41:40.530Z,18.8221666666667,-155.186,6.94,2.55,md,49,268,,0.16,hv,hv73029062,2022-08-06T22:13:09.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,0.49,0.37,0.111073581614431,17,reviewed,hv,hv
2022-05-11T00:09:57.330Z,18.8811666666667,-155.19,11.63,2.52,ml,47,259,,0.19,hv,hv73008762,2022-07-22T18:31:12.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.69,0.83,0.159063863444602,12,reviewed,hv,hv
2022-04-09T22:58:59.990Z,18.7596666666667,-155.248,6.6,2.56,md,44,275,,0.12,hv,hv72979232,2022-06-20T22:07:38.040Z,"48 km SE of Naalehu, Hawaii",earthquake,0.51,0.48,0.0935760996560295,18,reviewed,hv,hv
2022-04-06T15:56:00.320Z,18.8901666666667,-155.156166666667,6.41,2.76,md,32,267,,0.18,hv,hv72975342,2022-06-11T20:21:07.040Z,"48 km SE of P?hala, Hawaii",earthquake,0.54,0.47,0.0810993502869675,13,reviewed,hv,hv
2022-04-06T00:46:42.390Z,18.7755,-155.240666666667,4.64,2.57,ml,45,273,,0.21,hv,hv72974782,2022-06-11T20:21:06.040Z,"48 km SE of Naalehu, Hawaii",earthquake,0.49,0.52,0.166441919915637,11,reviewed,hv,hv
2022-04-04T14:15:30.860Z,18.8078333333333,-155.241,0.38,2.57,md,45,268,,0.23,hv,hv72973172,2022-06-11T20:21:03.040Z,"45 km SE of Naalehu, Hawaii",earthquake,0.85,0.26,0.158192466223233,18,reviewed,hv,hv
