Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
195,41.85929,2.001923,4.975043,6.695358,21.27601,0.182371,0.033674,0.62216,9.401859,1.238209,0.120356,8.98077,
196.5,41.95805,2.03073,5.053312,6.774941,21.19014,0.20308,0.029261,0.57987,9.420345,1.25602,0.098291,8.977566,
198,42.14908,2.039874,5.045827,6.85584,21.35892,0.21363,0.033749,0.603356,9.307189,1.276885,0.156934,8.959359,
199.5,41.77219,2.046682,4.975359,6.670017,21.22953,0.209077,0.03194,0.588928,9.342737,1.184792,0.14663,8.944068,
201,41.83393,2.142316,4.939252,6.735014,21.2509,0.202231,0.063319,0.620101,9.296559,1.311392,0.108359,8.887015,
202.5,41.83904,1.991601,5.021858,6.725777,21.19714,0.202641,0.067693,0.611437,9.364403,1.234407,0.129552,9.02984,
204,41.89191,2.1074,5.046856,6.673648,21.23545,0.213446,0.061499,0.606307,9.390224,1.183531,0.124004,9.079616,
205.5,41.97167,2.065177,5.014252,6.727804,21.33155,0.170513,0.071186,0.628183,9.356457,1.275921,0.127717,9.043554,
207,41.88984,2.047258,5.018692,6.716873,21.31221,0.158011,0.059295,0.596003,9.304662,1.256529,0.110198,8.955508,
208.5,41.97681,2.043587,5.012843,6.788065,21.2679,0.199219,0.086244,0.595722,9.409032,1.224785,0.151002,9.049118,
210,41.86162,2.031339,4.9967,6.674395,21.29209,0.213426,0.043828,0.602619,9.309441,1.241447,0.122101,8.771177,
211.5,41.991,2.02904,4.989167,6.754111,21.32944,0.195498,0.030181,0.614362,9.383512,1.220079,0.172143,8.910882,
213,41.94997,2.066645,4.852786,6.796127,21.28366,0.207406,0.025605,0.624172,9.412801,1.253231,0.153628,9.014728,
214.5,41.67426,2.022347,4.842102,6.749407,21.28759,0.182647,0.057967,0.594998,9.313359,1.217824,0.119383,8.874953,
216,41.73259,1.975285,4.891726,6.698371,21.26506,0.148375,0.059516,0.618629,9.37107,1.261439,0.097965,8.963047,
217.5,41.63594,1.993686,4.912063,6.762999,21.16573,0.156118,0.057593,0.572549,9.412066,1.233703,0.134748,8.996478,
219,41.82098,2.056234,4.847814,6.740254,21.26594,0.188633,0.097302,0.566437,9.53646,1.261137,0.118458,8.905944,
220.5,41.7323,1.988105,4.708024,6.753557,21.16966,0.215292,0.057263,0.590777,9.516191,1.194988,0.173236,8.988757,
222,41.59818,2.002678,4.665871,6.731495,21.1664,0.178987,0.074175,0.56912,9.463367,1.248132,0.121343,9.097971,
223.5,41.35693,2.01128,4.571853,6.66531,20.99532,0.181448,0.031678,0.57813,9.53681,1.27945,0.102969,9.012735,
225,41.02837,2.097986,4.27874,6.769762,20.76553,0.137707,0.065364,0.553232,9.680388,1.31597,0.20495,9.010139,
226.5,39.76608,1.988309,4.825564,6.27695,19.81584,0.182159,0.069779,0.593679,9.387677,1.276588,0.121842,8.835355,
228,41.74745,0.535724,19.42001,2.416908,18.70769,0.089837,0.01719,0.296456,4.050028,0.555495,0.121999,10.59269,
229.5,41.92356,0.038283,25.90817,0.473986,18.14213,0.003719,-0.0131,0.027979,0.612366,0.031127,0.184905,11.65645,
231,42.36781,-0.021961,26.82089,0.334059,18.31373,0.052539,-0.002741,0.017689,0.323346,0.042039,0.201131,11.06146,
232.5,42.21474,0.019634,26.92252,0.323738,18.42968,-0.024975,0.004117,0.012671,0.336584,-0.007748,0.164952,10.66643,
234,42.40216,-0.080073,27.25743,0.30792,18.38422,-0.009404,0.004682,0.023151,0.318406,-0.004011,0.169933,10.64134,
235.5,42.51544,-0.028782,27.23077,0.27053,18.46355,0.018049,-0.005258,-0.001777,0.280143,-0.007345,0.177416,10.55751,
237,42.40708,-0.017656,27.0342,0.317041,18.3385,0.021166,-0.010169,0.001693,0.275379,-0.005412,0.161563,10.84928,
